Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,Survival Rate
3,male,34.5,0,0,7.8292,Q,0,0.091
3,female,47.0,1,0,7.0,S,0,0.316
2,male,62.0,0,0,9.6875,Q,0,0.094
3,male,27.0,0,0,8.6625,S,0,0.104
3,female,22.0,1,1,12.2875,S,1,0.558
3,male,14.0,0,0,9.225,S,0,0.167
3,female,30.0,0,0,7.6292,Q,1,0.615
2,male,26.0,1,1,29.0,S,0,0.215
3,female,18.0,0,0,7.2292,C,1,0.759
3,male,21.0,2,0,24.15,S,0,0.071
1,male,46.0,0,0,26.0,S,0,0.366
1,female,23.0,1,0,82.2667,S,1,0.939
2,male,63.0,1,0,26.0,S,0,0.057
1,female,47.0,1,0,61.175,S,1,0.845
2,female,24.0,1,0,27.7208,C,1,0.854
2,male,35.0,0,0,12.35,Q,0,0.246
3,male,21.0,0,0,7.225,C,0,0.174
3,female,27.0,1,0,7.925,S,1,0.518
3,female,45.0,0,0,7.225,C,1,0.502
1,male,55.0,1,0,59.4,C,0,0.294
3,male,9.0,0,1,3.1708,S,0,0.189
1,male,21.0,0,1,61.3792,C,1,0.702
1,female,48.0,1,3,262.375,C,1,0.896
3,male,50.0,1,0,14.5,S,0,0.03
1,female,22.0,0,1,61.9792,C,1,0.967
3,male,22.5,0,0,7.225,C,0,0.165
1,male,41.0,0,0,30.5,S,0,0.418
2,male,50.0,1,0,26.0,S,0,0.095
2,male,24.0,2,0,31.5,S,0,0.182
3,female,33.0,1,2,20.575,S,0,0.432
1,male,30.0,1,0,57.75,C,1,0.544
3,male,18.5,0,0,7.2292,C,0,0.19
3,female,21.0,0,0,8.6625,S,1,0.663
3,male,25.0,0,0,9.5,S,0,0.112
3,male,39.0,0,1,13.4167,C,0,0.086
3,male,41.0,0,0,7.85,S,0,0.06
2,female,30.0,0,0,13.0,S,1,0.817
1,female,45.0,1,0,52.5542,S,1,0.854
3,male,25.0,0,0,7.925,S,0,0.112
1,male,45.0,0,0,29.7,C,0,0.462
1,female,60.0,0,0,76.2917,C,1,0.866
3,female,36.0,0,2,15.9,S,0,0.486
1,male,24.0,1,0,60.0,S,1,0.521
2,male,27.0,0,0,15.0333,C,0,0.353
2,female,20.0,2,1,23.0,S,1,0.764
1,female,28.0,3,2,263.0,S,1,0.882
3,male,10.0,4,1,29.125,Q,0,0.064
3,male,35.0,0,0,7.8958,S,0,0.076
3,male,25.0,0,0,7.65,S,0,0.112
1,female,36.0,0,0,262.375,C,1,0.96
3,male,17.0,0,0,7.8958,S,0,0.15
2,male,32.0,0,0,13.5,S,0,0.237
3,male,18.0,0,0,7.75,S,0,0.145
3,female,22.0,0,0,7.725,Q,1,0.691
1,male,13.0,2,2,262.375,C,1,0.682
3,female,18.0,0,0,7.8792,Q,1,0.726
1,male,47.0,0,0,42.4,S,0,0.363
1,male,31.0,0,0,28.5375,C,1,0.608
1,female,60.0,1,4,263.0,S,1,0.777
3,female,24.0,0,0,7.75,Q,1,0.673
3,male,21.0,0,0,7.8958,S,0,0.13
3,female,29.0,0,0,7.925,S,1,0.583
1,male,28.5,0,0,27.7208,C,1,0.632
1,female,35.0,0,0,211.5,C,1,0.959
1,male,32.5,0,0,211.5,C,1,0.661
1,female,55.0,2,0,25.7,S,1,0.721
2,male,30.0,0,0,13.0,S,0,0.253
3,female,24.0,0,0,7.75,Q,1,0.673
3,male,6.0,1,1,15.2458,C,0,0.212
1,male,67.0,1,0,221.7792,S,0,0.187
1,male,49.0,0,0,26.0,S,0,0.338
3,female,27.0,0,0,7.8792,Q,1,0.645
3,female,18.0,0,0,8.05,S,1,0.69
2,male,2.0,1,1,23.0,S,0,0.428
3,female,22.0,1,0,13.9,S,1,0.572
1,female,27.0,1,2,52.0,S,1,0.918
1,male,25.0,0,0,26.0,C,1,0.665
3,male,25.0,0,0,7.7958,S,0,0.112
1,female,76.0,1,0,78.85,S,1,0.622
3,male,29.0,0,0,7.925,S,0,0.096
3,female,20.0,0,0,7.8542,S,1,0.672
3,male,33.0,0,0,8.05,S,0,0.083
1,female,43.0,1,0,55.4417,C,1,0.9
2,male,27.0,1,0,26.0,S,0,0.217
3,male,26.0,0,0,7.775,S,0,0.108
3,female,16.0,1,1,8.5167,C,1,0.696
3,male,28.0,0,0,22.525,S,0,0.102
3,male,21.0,0,0,7.8208,Q,0,0.151
2,male,18.5,0,0,13.0,S,0,0.355
2,male,41.0,0,0,15.0458,C,0,0.232
1,female,36.0,0,0,31.6792,C,1,0.943
3,female,18.5,0,0,7.2833,Q,1,0.722
1,female,63.0,1,0,221.7792,S,1,0.782
3,male,18.0,1,0,14.4542,C,0,0.146
3,female,1.0,1,1,16.7,S,1,0.755
1,male,36.0,0,0,75.2417,C,1,0.575
2,female,29.0,1,0,26.0,S,1,0.77
2,female,12.0,0,0,15.75,S,1,0.905
1,female,35.0,1,0,57.75,C,1,0.927
3,male,28.0,0,0,7.25,S,0,0.1
3,female,17.0,0,1,16.1,S,1,0.69
3,male,22.0,0,0,7.7958,S,0,0.125
2,male,42.0,0,0,13.0,S,0,0.169
3,male,24.0,0,0,8.05,S,0,0.116
3,male,32.0,0,0,8.05,S,0,0.086
1,male,53.0,0,0,28.5,C,0,0.38
3,male,43.0,0,0,7.8958,S,0,0.056
3,male,24.0,0,0,7.8542,S,0,0.116
3,male,26.5,0,0,7.225,C,0,0.143
2,male,26.0,0,0,13.0,S,0,0.286
3,female,23.0,0,0,8.05,S,1,0.643
3,male,40.0,1,6,46.9,S,0,0.035
3,female,10.0,5,2,46.9,S,0,0.341
1,female,33.0,0,0,151.55,S,1,0.942
1,male,61.0,1,3,262.375,C,0,0.275
2,male,28.0,0,0,26.0,S,0,0.273
1,male,42.0,0,0,26.55,S,0,0.407
3,male,31.0,3,0,18.0,S,0,0.034
3,male,22.0,0,0,8.05,S,0,0.125
2,male,30.0,1,1,26.0,S,0,0.187
1,female,23.0,0,1,83.1583,C,1,0.967
3,female,36.0,0,2,12.1833,S,0,0.484
3,male,13.0,4,2,31.3875,S,0,0.046
3,male,24.0,0,0,7.55,S,0,0.116
1,female,29.0,0,0,221.7792,S,1,0.955
3,female,23.0,0,0,7.8542,S,1,0.643
1,male,42.0,0,0,26.55,S,0,0.407
3,female,26.0,0,2,13.775,S,1,0.59
3,male,7.0,1,1,15.2458,C,0,0.205
2,female,26.0,0,0,13.5,S,1,0.841
2,male,41.0,0,0,13.0,S,0,0.175
3,female,26.0,1,1,22.025,S,1,0.52
1,male,48.0,0,0,50.4958,C,0,0.439
3,male,18.0,2,2,34.375,S,0,0.073
3,female,22.0,0,0,8.9625,S,1,0.653
3,male,27.0,0,0,7.225,C,0,0.141
3,male,23.0,1,0,13.9,S,0,0.089
3,male,40.0,1,5,31.3875,S,0,0.036
2,female,15.0,0,2,39.0,S,1,0.887
2,female,20.0,0,0,36.75,S,1,0.876
1,male,54.0,1,0,55.4417,C,0,0.302
2,female,36.0,0,3,39.0,S,1,0.753
1,female,64.0,0,2,83.1583,C,1,0.832
2,male,30.0,0,0,13.0,S,0,0.253
1,male,37.0,1,1,83.1583,C,0,0.467
1,female,18.0,1,0,53.1,S,1,0.948
1,female,27.0,1,1,247.5208,C,1,0.958
2,male,40.0,0,0,16.0,S,0,0.182
2,female,21.0,0,1,21.0,S,1,0.862
3,male,17.0,2,0,8.05,S,0,0.081
2,male,40.0,0,0,13.0,S,0,0.182
2,male,34.0,1,0,26.0,S,0,0.171
3,male,11.5,1,1,14.5,S,0,0.131
2,male,61.0,0,0,12.35,Q,0,0.098
2,male,8.0,0,2,32.5,S,0,0.442
3,male,33.0,0,0,7.8542,S,0,0.083
1,male,6.0,0,2,134.5,C,1,0.825
3,female,18.0,0,0,7.775,S,1,0.69
2,male,23.0,0,0,10.5,S,0,0.312
3,male,0.33,0,2,14.4,S,0,0.244
1,male,47.0,1,0,227.525,C,0,0.434
2,female,8.0,1,1,26.0,S,1,0.885
2,male,25.0,0,0,10.5,S,0,0.294
3,female,35.0,0,0,7.75,Q,1,0.564
2,male,24.0,0,0,10.5,S,0,0.303
1,female,33.0,0,0,27.7208,C,1,0.949
3,male,25.0,0,0,7.8958,S,0,0.112
3,male,32.0,0,0,22.525,S,0,0.088
2,male,17.0,0,0,73.5,S,0,0.392
2,female,60.0,1,0,26.0,S,0,0.475
3,female,38.0,4,2,7.775,S,0,0.175
1,male,42.0,0,0,42.5,S,0,0.413
1,male,57.0,1,1,164.8667,S,0,0.233
1,female,50.0,1,1,211.5,C,1,0.891
2,female,30.0,1,0,13.8583,C,1,0.816
3,male,21.0,0,0,8.05,S,0,0.13
2,female,22.0,0,0,10.5,S,1,0.861
3,male,21.0,0,0,7.7958,S,0,0.13
1,female,53.0,0,0,27.4458,C,1,0.889
3,male,23.0,0,0,7.7958,S,0,0.121
3,male,40.5,0,0,15.1,S,0,0.062
2,male,36.0,0,0,13.0,S,0,0.208
2,male,14.0,0,0,65.0,S,0,0.42
1,female,21.0,0,0,26.55,S,1,0.956
3,male,21.0,1,0,6.4958,S,0,0.095
1,male,39.0,1,0,71.2833,C,0,0.455
3,male,20.0,0,0,7.8542,S,0,0.135
1,male,64.0,1,0,75.25,C,0,0.226
3,male,20.0,0,0,7.225,C,0,0.18
2,female,18.0,1,1,13.0,S,1,0.831
1,female,48.0,1,0,106.425,C,1,0.888
1,female,55.0,0,0,27.7208,C,1,0.881
2,female,45.0,0,2,30.0,S,1,0.685
1,male,45.0,1,1,134.5,C,0,0.404
1,male,41.0,1,0,51.8625,S,0,0.344
2,female,22.0,0,0,21.0,S,1,0.863
2,male,42.0,1,1,32.5,S,0,0.123
2,female,29.0,1,0,26.0,S,1,0.77
2,female,0.92,1,2,27.75,S,1,0.908
3,male,20.0,0,0,7.925,S,0,0.135
1,male,27.0,1,0,136.7792,C,1,0.606
3,male,24.0,0,0,9.325,S,0,0.116
3,male,32.5,0,0,9.5,S,0,0.084
3,male,28.0,0,0,8.05,S,0,0.1
2,female,19.0,0,0,13.0,S,1,0.876
3,male,21.0,0,0,7.775,S,0,0.13
3,male,36.5,1,0,17.4,S,0,0.053
3,male,21.0,0,0,7.8542,S,0,0.13
2,female,29.0,0,2,23.0,S,1,0.809
3,female,1.0,1,1,12.1833,S,1,0.754
2,male,30.0,0,0,12.7375,C,0,0.324
3,male,17.0,0,0,8.6625,S,0,0.15
1,male,46.0,0,0,75.2417,C,0,0.47
1,female,26.0,1,0,136.7792,C,1,0.955
2,female,20.0,1,0,26.0,S,1,0.83
2,male,28.0,0,0,10.5,S,0,0.268
2,male,40.0,1,0,26.0,S,0,0.138
2,male,30.0,1,0,21.0,S,0,0.195
2,male,22.0,0,0,10.5,S,0,0.321
3,female,23.0,0,0,8.6625,S,1,0.644
3,male,0.75,1,1,13.775,S,0,0.191
3,female,9.0,1,1,15.2458,C,1,0.757
3,female,2.0,1,1,20.2125,S,1,0.749
3,male,36.0,0,0,7.25,S,0,0.073
1,male,24.0,1,0,82.2667,S,1,0.53
3,female,30.0,0,0,6.95,Q,1,0.615
1,male,53.0,1,1,81.8583,S,0,0.239
3,male,36.0,0,0,9.5,S,0,0.074
3,male,26.0,0,0,7.8958,S,0,0.108
2,female,1.0,1,2,41.5792,C,1,0.934
1,male,30.0,0,0,45.5,S,1,0.54
3,male,29.0,0,0,7.8542,S,0,0.096
3,male,32.0,0,0,7.775,S,0,0.086
2,male,43.0,0,1,21.0,S,0,0.158
3,male,24.0,0,0,8.6625,S,0,0.116
1,female,64.0,1,1,26.55,S,1,0.704
1,male,30.0,1,2,151.55,S,0,0.467
3,male,0.83,0,1,9.35,S,0,0.249
1,male,55.0,1,1,93.5,S,0,0.227
3,female,45.0,1,0,14.1083,S,0,0.337
3,male,18.0,0,0,8.6625,S,0,0.145
3,male,22.0,0,0,7.225,C,0,0.168
3,female,37.0,0,0,7.75,Q,1,0.543
1,female,55.0,0,0,135.6333,C,1,0.898
3,female,17.0,0,0,7.7333,Q,1,0.734
1,male,57.0,1,0,146.5208,C,0,0.306
2,male,19.0,0,0,10.5,S,0,0.349
3,male,27.0,0,0,7.8542,S,0,0.104
2,male,22.0,2,0,31.5,S,0,0.195
3,male,26.0,0,0,7.775,S,0,0.108
3,male,25.0,0,0,7.2292,C,0,0.151
2,male,26.0,0,0,13.0,S,0,0.286
1,male,33.0,0,0,26.55,S,1,0.501
1,female,39.0,0,0,211.3375,S,1,0.932
3,male,23.0,0,0,7.05,S,0,0.12
2,female,12.0,2,1,39.0,S,1,0.823
1,male,46.0,0,0,79.2,C,0,0.472
2,male,29.0,1,0,26.0,S,0,0.203
2,male,21.0,0,0,13.0,S,0,0.331
2,female,48.0,0,2,36.75,S,1,0.66
1,male,39.0,0,0,29.7,C,1,0.525
3,female,19.0,1,1,15.7417,C,1,0.671
3,male,27.0,0,0,7.8958,S,0,0.104
1,male,30.0,0,0,26.0,S,1,0.532
2,male,32.0,0,0,13.0,S,0,0.237
3,male,39.0,0,2,7.2292,C,0,0.081
2,male,25.0,0,0,31.5,S,0,0.301
2,male,18.0,0,0,10.5,S,0,0.359
3,male,32.0,0,0,7.5792,S,0,0.086
1,female,58.0,0,1,512.3292,C,1,0.931
3,female,16.0,0,0,7.65,S,1,0.708
2,male,26.0,0,0,13.0,S,0,0.286
3,female,38.0,0,0,7.2292,C,1,0.575
2,male,24.0,0,0,13.5,S,0,0.304
2,female,31.0,0,0,21.0,S,1,0.812
1,female,45.0,0,1,63.3583,C,1,0.919
2,male,25.0,0,0,10.5,S,0,0.294
2,male,18.0,0,0,73.5,S,0,0.382
2,male,49.0,1,2,65.0,S,0,0.094
3,female,0.17,1,2,20.575,S,1,0.753
1,male,50.0,0,0,26.0,S,0,0.328
1,female,59.0,2,0,51.4792,S,1,0.695
3,female,30.0,1,0,15.55,S,0,0.489
3,male,14.5,8,2,69.55,S,0,0.012
2,female,24.0,1,1,37.0042,C,1,0.849
2,female,31.0,0,0,21.0,S,1,0.812
3,male,27.0,0,0,8.6625,S,0,0.104
1,female,25.0,1,0,55.4417,C,1,0.951
3,female,22.0,0,0,39.6875,S,1,0.664
1,female,45.0,0,1,59.4,C,1,0.918
2,male,29.0,0,0,13.8583,C,0,0.334
2,male,21.0,1,0,11.5,S,0,0.258
1,female,31.0,0,0,134.5,C,1,0.96
1,male,49.0,0,0,0.0,S,0,0.328
2,male,44.0,0,0,13.0,S,0,0.158
1,female,54.0,1,1,81.8583,S,1,0.798
1,female,45.0,0,0,262.375,C,1,0.943
3,female,22.0,2,0,8.6625,S,0,0.483
2,male,21.0,0,0,11.5,S,0,0.33
1,male,55.0,0,0,50.0,S,0,0.291
3,male,5.0,4,2,31.3875,S,0,0.063
3,male,26.0,0,0,7.8792,Q,0,0.126
3,female,19.0,1,0,16.1,S,1,0.604
2,female,24.0,1,2,65.0,S,1,0.797
3,male,24.0,0,0,7.775,S,0,0.116
2,male,57.0,0,0,13.0,S,0,0.098
3,male,21.0,0,0,7.75,Q,0,0.151
3,male,6.0,3,1,21.075,S,0,0.087
1,male,23.0,0,0,93.5,S,1,0.63
1,female,51.0,0,1,39.4,S,1,0.856
3,male,13.0,0,2,20.25,S,0,0.16
2,male,47.0,0,0,10.5,S,0,0.141
3,male,29.0,3,1,22.025,S,0,0.035
1,female,18.0,1,0,60.0,S,1,0.949
3,male,24.0,0,0,7.25,Q,0,0.135
1,female,48.0,1,1,79.2,C,1,0.878
3,male,22.0,0,0,7.775,S,0,0.125
3,male,31.0,0,0,7.7333,Q,0,0.104
1,female,30.0,0,0,164.8667,S,1,0.949
2,male,38.0,1,0,21.0,S,0,0.147
1,female,22.0,0,1,59.4,C,1,0.967
1,male,17.0,0,0,47.1,S,1,0.67
1,male,43.0,1,0,27.7208,C,0,0.397
2,male,20.0,0,0,13.8625,C,0,0.423
2,male,23.0,1,0,10.5,S,0,0.242
1,male,50.0,1,1,211.5,C,0,0.383
3,female,3.0,1,1,13.775,S,1,0.739
1,female,37.0,1,0,90.0,Q,1,0.912
3,female,28.0,0,0,7.775,S,1,0.594
1,female,39.0,0,0,108.9,C,1,0.943
3,male,38.5,0,0,7.25,S,0,0.066
